id,name,url,ESG,E,S,G
1028,Auctus Project,https://icomarks.com/ico/Auctus-Project,0.002 ,0.000 ,0.000 ,0.002 
3543,Creditcoin on FLATLAY,https://icomarks.com/ico/Creditcoin-on-FLATLAY,0.009 ,0.000 ,0.009 ,0.000 
4778,Signals Network,https://icomarks.com/ico/Signals-Network,0.002 ,0.000 ,0.002 ,0.000 
18293,Rhizome Network Protocol,https://icomarks.com/ico/Rhizome-Network-Protocol,0.006 ,0.000 ,0.004 ,0.002 
22615,Fetch.AI,https://icomarks.com/ico/Fetch.AI,0.006 ,0.000 ,0.006 ,0.000 
22347,RGB.market,https://icomarks.com/ico/RGB.market,0.004 ,0.000 ,0.004 ,0.000 
964,Cryptonetix,https://icomarks.com/ico/Cryptonetix,0.004 ,0.000 ,0.000 ,0.004 
3160,BitcoinHomework,https://icomarks.com/ico/BitcoinHomework,0.004 ,0.000 ,0.004 ,0.000 
3254,QUASAR COIN,https://icomarks.com/ico/QUASAR-COIN,0.008 ,0.000 ,0.006 ,0.002 
3617,Fleetcoin,https://icomarks.com/ico/Fleetcoin,0.004 ,0.000 ,0.002 ,0.002 
4326,FACHAIN,https://icomarks.com/ico/FACHAIN,0.011 ,0.000 ,0.009 ,0.002 
4830,BTRIC,https://icomarks.com/ico/BTRIC,0.018 ,0.000 ,0.009 ,0.010 
8245,Larecoin,https://icomarks.com/ico/Larecoin,0.000 ,0.000 ,0.000 ,0.000 
8579,Educhambers,https://icomarks.com/ico/Educhambers,0.008 ,0.000 ,0.006 ,0.002 
15063,MBYZ,https://icomarks.com/ico/MBYZ,0.000 ,0.000 ,0.000 ,0.000 
16277,Pablo Plus,https://icomarks.com/ico/Pablo-Plus,0.004 ,0.000 ,0.002 ,0.002 
16900,Catholic coin,https://icomarks.com/ico/Catholic-coin,0.004 ,0.000 ,0.004 ,0.000 
10490,MinerOne,https://icomarks.com/ico/MinerOne,0.004 ,0.004 ,0.000 ,0.000 
3156,ETM COIN,https://icomarks.com/ico/ETM-COIN,0.004 ,0.000 ,0.002 ,0.002 
3495,Restart Energy Democracy,https://icomarks.com/ico/Restart-Energy-Democracy,0.008 ,0.002 ,0.002 ,0.004 
7962,Torus,https://icomarks.com/ico/Torus,0.002 ,0.002 ,0.000 ,0.000 
9285,Gmine,https://icomarks.com/ico/Gmine,0.010 ,0.008 ,0.002 ,0.000 
13868,GRYisPower,https://icomarks.com/ico/GRYisPower,0.012 ,0.010 ,0.000 ,0.002 
18477,CyberTechNET,https://icomarks.com/ico/CyberTechNET,0.006 ,0.004 ,0.002 ,0.000 
18837,JTK Ultrade Group,https://icomarks.com/ico/JTK-Ultrade-Group,0.002 ,0.002 ,0.000 ,0.000 
17691,XCENT,https://icomarks.com/ico/XCENT,0.004 ,0.000 ,0.004 ,0.000 
1242,GoMineWorld™,https://icomarks.com/ico/GoMineWorld™,0.000 ,0.000 ,0.000 ,0.000 
2484,Florio,https://icomarks.com/ico/Florio,0.011 ,0.000 ,0.009 ,0.002 
7917,SHIVOM,https://icomarks.com/ico/SHIVOM,0.004 ,0.000 ,0.002 ,0.002 
15416,Health FX,https://icomarks.com/ico/Health-FX,0.004 ,0.000 ,0.002 ,0.002 
15525,TheChampcoin Gold,https://icomarks.com/ico/TheChampcoin-Gold,0.002 ,0.000 ,0.002 ,0.000 
17639,EyeGlob,https://icomarks.com/ico/EyeGlob,0.006 ,0.000 ,0.004 ,0.002 
9131,SilentNotary,https://icomarks.com/ico/SilentNotary,0.008 ,0.000 ,0.002 ,0.006 
14893,CZERO MOBILITY,https://icomarks.com/ico/CZERO-MOBILITY,0.006 ,0.002 ,0.002 ,0.002 
21058,DriveDeal,https://icomarks.com/ico/DriveDeal,0.009 ,0.000 ,0.009 ,0.000 
4344,Geneviève VC,https://icomarks.com/ico/Geneviève-VC,0.012 ,0.000 ,0.002 ,0.010 
193,MakersMarks - Decentralized product identification,https://icomarks.com/ico/MakersMarks---Decentralized-product-identification,0.004 ,0.000 ,0.000 ,0.004 
261,Oxycoin,https://icomarks.com/ico/Oxycoin,0.002 ,0.000 ,0.002 ,0.000 
291,Starbase Co,https://icomarks.com/ico/Starbase-Co,0.002 ,0.000 ,0.000 ,0.002 
413,DES – ANTISCAM,https://icomarks.com/ico/DES-–-ANTISCAM,0.002 ,0.000 ,0.000 ,0.002 
418,NaPoleonX,https://icomarks.com/ico/NaPoleonX,0.004 ,0.000 ,0.002 ,0.002 
621,Coincrowd.it,https://icomarks.com/ico/Coincrowd.it,0.002 ,0.000 ,0.002 ,0.000 
666,Planes Cloud,https://icomarks.com/ico/Planes-Cloud,0.002 ,0.000 ,0.002 ,0.000 
719,Kchin,https://icomarks.com/ico/Kchin,0.002 ,0.000 ,0.000 ,0.002 
774,AmberPort,https://icomarks.com/ico/AmberPort,0.000 ,0.000 ,0.000 ,0.000 
786,AbioCoin,https://icomarks.com/ico/AbioCoin,0.004 ,0.000 ,0.002 ,0.002 
810,Hedge Token,https://icomarks.com/ico/Hedge-Token,0.000 ,0.000 ,0.000 ,0.000 
900,MyWill Platform,https://icomarks.com/ico/MyWill-Platform,0.006 ,0.000 ,0.004 ,0.002 
1021,ToTheMoon,https://icomarks.com/ico/ToTheMoon,0.004 ,0.000 ,0.002 ,0.002 
1159,ChainTrade,https://icomarks.com/ico/ChainTrade,0.004 ,0.000 ,0.000 ,0.004 
1251,Real Estate Token,https://icomarks.com/ico/Real-Estate-Token,0.002 ,0.000 ,0.002 ,0.000 
1515,Global Crypto Bank,https://icomarks.com/ico/Global-Crypto-Bank,0.008 ,0.000 ,0.004 ,0.004 
1640,LydianCoin,https://icomarks.com/ico/LydianCoin,0.004 ,0.000 ,0.000 ,0.004 
1767,LoanBit,https://icomarks.com/ico/LoanBit,0.004 ,0.000 ,0.000 ,0.004 
1942,The NAGA,https://icomarks.com/ico/The-NAGA,0.002 ,0.000 ,0.000 ,0.002 
2298,NEXT.exchange,https://icomarks.com/ico/NEXT.exchange,0.008 ,0.000 ,0.002 ,0.006 
2303,eGold,https://icomarks.com/ico/eGold,0.006 ,0.000 ,0.004 ,0.002 
2415,Volk,https://icomarks.com/ico/Volk,0.002 ,0.000 ,0.000 ,0.002 
2453,AIDA Service,https://icomarks.com/ico/AIDA-Service,0.000 ,0.000 ,0.000 ,0.000 
2502,xСhainge,https://icomarks.com/ico/xСhainge,0.004 ,0.000 ,0.004 ,0.000 
2611,VONE,https://icomarks.com/ico/VONE,0.002 ,0.000 ,0.002 ,0.000 
2854,Milkyway Coin,https://icomarks.com/ico/Milkyway-Coin,0.006 ,0.000 ,0.004 ,0.002 
2934,Hitscoin,https://icomarks.com/ico/Hitscoin,0.000 ,0.000 ,0.000 ,0.000 
2944,AurumCoin,https://icomarks.com/ico/AurumCoin,0.004 ,0.000 ,0.002 ,0.002 
2954,Exindex,https://icomarks.com/ico/Exindex,0.004 ,0.000 ,0.000 ,0.004 
3638,ElectionCoin,https://icomarks.com/ico/ElectionCoin,0.008 ,0.000 ,0.000 ,0.008 
3642,ENS.BID,https://icomarks.com/ico/ENS.BID,0.002 ,0.000 ,0.002 ,0.000 
3926,StaticICO,https://icomarks.com/ico/StaticICO,0.002 ,0.000 ,0.002 ,0.000 
4127,Adverx,https://icomarks.com/ico/Adverx,0.002 ,0.000 ,0.002 ,0.000 
4324,Ribbon Coin,https://icomarks.com/ico/Ribbon-Coin,0.004 ,0.000 ,0.000 ,0.004 
4510,Gas Files,https://icomarks.com/ico/Gas-Files,0.002 ,0.000 ,0.000 ,0.002 
4891,Investment Platform of Nigeria,https://icomarks.com/ico/Investment-Platform-of-Nigeria,0.002 ,0.000 ,0.000 ,0.002 
5214,Lite Eco Ledger Elements,https://icomarks.com/ico/Lite-Eco-Ledger-Elements,0.002 ,0.000 ,0.000 ,0.002 
5365,Menuva,https://icomarks.com/ico/Menuva,0.002 ,0.000 ,0.000 ,0.002 
5373,MangoStartups,https://icomarks.com/ico/MangoStartups,0.006 ,0.000 ,0.004 ,0.002 
5662,EXMO,https://icomarks.com/ico/EXMO,0.004 ,0.000 ,0.002 ,0.002 
5841,GramGold,https://icomarks.com/ico/GramGold,0.004 ,0.002 ,0.000 ,0.002 
6121,Giftz,https://icomarks.com/ico/Giftz,0.002 ,0.000 ,0.000 ,0.002 
6130,Boston Coin,https://icomarks.com/ico/Boston-Coin,0.002 ,0.000 ,0.000 ,0.002 
6154,EQUI,https://icomarks.com/ico/EQUI,0.008 ,0.000 ,0.002 ,0.006 
6466,Lavenir,https://icomarks.com/ico/Lavenir,0.004 ,0.000 ,0.002 ,0.002 
6704,CryoCloudCoin,https://icomarks.com/ico/CryoCloudCoin,0.004 ,0.000 ,0.004 ,0.000 
6725,crypt2pos,https://icomarks.com/ico/crypt2pos,0.002 ,0.000 ,0.002 ,0.000 
7161,TradeNetCoin,https://icomarks.com/ico/TradeNetCoin,0.006 ,0.000 ,0.004 ,0.002 
7239,TILX - Magic and Social Services,https://icomarks.com/ico/TILX---Magic-and-Social-Services,0.004 ,0.000 ,0.004 ,0.000 
7365,Phi Gold Mining,https://icomarks.com/ico/Phi-Gold-Mining,0.004 ,0.000 ,0.002 ,0.002 
7397,Clean-SL8,https://icomarks.com/ico/Clean-SL8,0.000 ,0.000 ,0.000 ,0.000 
7452,Punta Cana Trading,https://icomarks.com/ico/Punta-Cana-Trading,0.006 ,0.000 ,0.004 ,0.002 
8075,Remittance Gateway,https://icomarks.com/ico/Remittance-Gateway,0.006 ,0.000 ,0.006 ,0.000 
