id,name,url,ESG,E,S,G
12405,BullToken,https://icomarks.com/ico/BullToken,0.002 ,0.000 ,0.000 ,0.002 
12683,CryptoHunters,https://icomarks.com/ico/CryptoHunters,0.008 ,0.000 ,0.000 ,0.008 
13359,Doctor Smart,https://icomarks.com/ico/Doctor-Smart,0.012 ,0.000 ,0.009 ,0.004 
22485,Izzy Care,https://icomarks.com/ico/Izzy-Care,0.011 ,0.000 ,0.011 ,0.000 
18739,CustomCoin Platform,https://icomarks.com/ico/CustomCoin-Platform,0.002 ,0.000 ,0.000 ,0.002 
22626,Auxledger,https://icomarks.com/ico/Auxledger,0.002 ,0.000 ,0.000 ,0.002 
2499,trade.io,https://icomarks.com/ico/trade.io,0.008 ,0.000 ,0.004 ,0.004 
8744,Medcash,https://icomarks.com/ico/Medcash,0.006 ,0.000 ,0.004 ,0.002 
794,Robot Vera,https://icomarks.com/ico/Robot-Vera,0.006 ,0.000 ,0.006 ,0.000 
1898,eSports.com,https://icomarks.com/ico/eSports.com,0.002 ,0.000 ,0.002 ,0.000 
6304,Red Lanterns,https://icomarks.com/ico/Red-Lanterns,0.009 ,0.000 ,0.009 ,0.000 
8609,Leap With Alice,https://icomarks.com/ico/Leap-With-Alice,0.008 ,0.000 ,0.006 ,0.002 
13131,Cubomania,https://icomarks.com/ico/Cubomania,0.002 ,0.000 ,0.002 ,0.000 
21496,Global Tech,https://icomarks.com/ico/Global-Tech,0.008 ,0.000 ,0.004 ,0.004 
6267,Energy Premier,https://icomarks.com/ico/Energy-Premier,0.008 ,0.004 ,0.000 ,0.004 
6380,Node,https://icomarks.com/ico/Node,0.002 ,0.002 ,0.000 ,0.000 
12834,HeliosCoin,https://icomarks.com/ico/HeliosCoin,0.006 ,0.006 ,0.000 ,0.000 
13133,Treon,https://icomarks.com/ico/Treon,0.004 ,0.004 ,0.000 ,0.000 
13266,Miniera,https://icomarks.com/ico/Miniera,0.006 ,0.006 ,0.000 ,0.000 
20762,Eloncity,https://icomarks.com/ico/Eloncity,0.010 ,0.008 ,0.002 ,0.000 
21431,Smart City Coin Test Net,https://icomarks.com/ico/Smart-City-Coin-Test-Net,0.006 ,0.004 ,0.002 ,0.000 
761,Pylon Network,https://icomarks.com/ico/Pylon-Network,0.010 ,0.004 ,0.006 ,0.000 
17637,Monarchy investment,https://icomarks.com/ico/Monarchy-investment,0.008 ,0.004 ,0.000 ,0.004 
20005,Reborn Bloc,https://icomarks.com/ico/Reborn-Bloc,0.020 ,0.014 ,0.002 ,0.004 
20593,Securix,https://icomarks.com/ico/Securix,0.006 ,0.002 ,0.000 ,0.004 
