id,name,url,ESG,E,S,G
4153,Dubailancers Token,https://icomarks.com/ico/Dubailancers-Token,0.0,0.0,0.0,0.0
4154,E2C,https://icomarks.com/ico/E2C,0.015,0.002,0.011,0.002
4155,Echoin,https://icomarks.com/ico/Echoin,0.01,0.002,0.006,0.002
4156,eKash,https://icomarks.com/ico/eKash,0.0,0.0,0.0,0.0
4157,Encrypgen,https://icomarks.com/ico/Encrypgen,0.002,0.0,0.002,0.0
4158,envion,https://icomarks.com/ico/envion,0.008,0.004,0.002,0.002
4159,Equadex,https://icomarks.com/ico/Equadex,0.002,0.0,0.0,0.002
4160,Etheraffle,https://icomarks.com/ico/Etheraffle,0.008,0.0,0.004,0.004
4161,Ethorse,https://icomarks.com/ico/Ethorse,0.002,0.0,0.0,0.002
4162,EVAIO,https://icomarks.com/ico/EVAIO,0.004,0.002,0.0,0.002
4163,exortion,https://icomarks.com/ico/exortion,0.006,0.002,0.004,0.0
4164,ExsulCoin,https://icomarks.com/ico/ExsulCoin,0.016,0.006,0.009,0.002
4165,Extremium,https://icomarks.com/ico/Extremium,0.006,0.0,0.002,0.004
4166,EZYcount,https://icomarks.com/ico/EZYcount,0.004,0.0,0.0,0.004
4167,Fair Diamond Mining,https://icomarks.com/ico/Fair-Diamond-Mining,0.012,0.0,0.006,0.006
4168,Farm,https://icomarks.com/ico/Farm,0.014,0.0,0.009,0.006
4169,Faxport,https://icomarks.com/ico/Faxport,0.004,0.0,0.002,0.002
4170,Feedchain,https://icomarks.com/ico/Feedchain,0.008,0.0,0.006,0.002
4172,Filecoin,https://icomarks.com/ico/Filecoin,0.004,0.0,0.002,0.002
4173,FinTech Coin,https://icomarks.com/ico/FinTech-Coin,0.004,0.0,0.002,0.002
4174,FINX,https://icomarks.com/ico/FINX,0.008,0.0,0.006,0.002
4175,FirstBlood,https://icomarks.com/ico/FirstBlood,0.002,0.0,0.0,0.002
4176,Floaterium,https://icomarks.com/ico/Floaterium,0.002,0.0,0.002,0.0
4177,Follex,https://icomarks.com/ico/Follex,0.002,0.0,0.002,0.0
4178,FundRequest,https://icomarks.com/ico/FundRequest,0.0,0.0,0.0,0.0
4179,G-Coin,https://icomarks.com/ico/G-Coin,0.0,0.0,0.0,0.0
4180,Gelios,https://icomarks.com/ico/Gelios,0.01,0.0,0.006,0.004
4181,GINEX,https://icomarks.com/ico/GINEX,0.002,0.0,0.002,0.0
4182,Global ICO Fund,https://icomarks.com/ico/Global-ICO-Fund,0.008,0.0,0.002,0.006
4183,Global Pay Net,https://icomarks.com/ico/Global-Pay-Net,0.006,0.0,0.002,0.004
4184,gonetworks,https://icomarks.com/ico/gonetworks,0.0,0.0,0.0,0.0
4185,GOODWORK,https://icomarks.com/ico/GOODWORK,0.002,0.0,0.002,0.0
4186,Grand50,https://icomarks.com/ico/Grand50,0.002,0.0,0.002,0.0
4187,GreenWorld Farm,https://icomarks.com/ico/GreenWorld-Farm,0.002,0.0,0.0,0.002
4188,Hearthy,https://icomarks.com/ico/Hearthy,0.019,0.0,0.019,0.0
4190,Hicky,https://icomarks.com/ico/Hicky,0.002,0.0,0.002,0.0
4191,Holdme,https://icomarks.com/ico/Holdme,0.002,0.0,0.0,0.002
4192,Honestis Network,https://icomarks.com/ico/Honestis-Network,0.01,0.0,0.006,0.004
4193,HorseChain,https://icomarks.com/ico/HorseChain,0.002,0.0,0.002,0.0
4194,HPlus,https://icomarks.com/ico/HPlus,0.004,0.0,0.002,0.002
4195,Hubezoo,https://icomarks.com/ico/Hubezoo,0.006,0.0,0.004,0.002
4197,Hyperbridge,https://icomarks.com/ico/Hyperbridge,0.006,0.0,0.006,0.0
4198,IHT Coin,https://icomarks.com/ico/IHT-Coin,0.006,0.0,0.004,0.002
4199,Incent,https://icomarks.com/ico/Incent,0.0,0.0,0.0,0.0
4200,Infinitus Token,https://icomarks.com/ico/Infinitus-Token,0.004,0.0,0.002,0.002
4201,InMax,https://icomarks.com/ico/InMax,0.006,0.0,0.004,0.002
4202,investFeed,https://icomarks.com/ico/investFeed,0.004,0.0,0.002,0.002
4203,iRegMed,https://icomarks.com/ico/iRegMed,0.0,0.0,0.0,0.0
4205,IViN,https://icomarks.com/ico/IViN,0.002,0.0,0.002,0.0
4207,Kastle,https://icomarks.com/ico/Kastle,0.002,0.0,0.0,0.002
4208,Kin,https://icomarks.com/ico/Kin,0.006,0.0,0.006,0.0
4209,KINEKT Terminals,https://icomarks.com/ico/KINEKT-Terminals,0.004,0.0,0.002,0.002
4210,Kissescoin,https://icomarks.com/ico/Kissescoin,0.002,0.0,0.0,0.002
4211,Koala,https://icomarks.com/ico/Koala,0.006,0.0,0.004,0.002
4212,Konios Project,https://icomarks.com/ico/Konios-Project,0.004,0.0,0.002,0.002
4214,Larecoin (LARE),https://icomarks.com/ico/Larecoin-(LARE),,,,
4215,Lift Token,https://icomarks.com/ico/Lift-Token,0.006,0.0,0.004,0.002
4217,LKSCOIN,https://icomarks.com/ico/LKSCOIN,0.004,0.0,0.004,0.0
4218,Lumenus,https://icomarks.com/ico/Lumenus,0.008,0.0,0.006,0.002
4219,Lunyr,https://icomarks.com/ico/Lunyr,0.002,0.0,0.002,0.0
