id;name;país;category; Ano ;ESG;E;S;G; Raised ; EPI ; CO2_E ; CO2_pc ; E_RNEW ; EnvironmentalTaxesgdp ; WUI ; PolStab ; VoiceandAccountability ; GovernmentEffectiveness ; RegulatoryQuality ; RuleofLaw ; ControlofCorruption ; Easeofdoingbusiness ; GDPUSD ; GDPpc ; Consumerprice ; Reservas ; Exchanderate ; Giniindex ; Bankcapital ; nonperformingloans ; Payingtax ; Unemployment ; IDH 
911;Virtue Poker;United Kingdom;Entretenimento & Mídia; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 18.548.000,00 ; 87,38 ; 366.844,10 ; 5,55 ; 8,81 ; 2,35 ; 0,09 ; 0,39 ; 1,36 ; 1,46 ; 1,71 ; 1,68 ; 1,85 ; 83,30 ; 2.688.678,99 ; 40.622,69 ; 2,58 ; 138.421,20 ; 0,78 ; 32,60 ; 6,78 ; 0,73 ; 30,90 ; 4,33 ; 0,93 
918;Zeepin;United States;Entretenimento & Mídia; 2.018 ;0,010 ;0,000 ;0,006 ;0,004 ; 62.580.000,00 ; 84,72 ; 4.819.365,10 ; 14,82 ; 9,92 ; 0,74 ; 0,04 ; 0,29 ; 1,01 ; 1,55 ; 1,63 ; 1,64 ; 1,38 ; 83,60 ; 19.477.400,00 ; 59.907,75 ; 2,13 ; 125.206,56 ; 1,00 ; 41,20 ; 11,65 ; 1,13 ; 44,00 ; 4,36 ; 0,93 
922;AMLT;United Kingdom;Governança & Legal; 2.018 ;0,012;0,000 ;0,009 ;0,004 ; 19.040.000,00 ; 87,38 ; 366.844,10 ; 5,55 ; 8,81 ; 2,35 ; 0,09 ; 0,39 ; 1,36 ; 1,46 ; 1,71 ; 1,68 ; 1,85 ; 83,30 ; 2.688.678,99 ; 40.622,69 ; 2,58 ; 138.421,20 ; 0,78 ; 32,60 ; 6,78 ; 0,73 ; 30,90 ; 4,33 ; 0,93 
945;EXIMCHAIN;United States;Logística & Transporte; 2.018 ;0,008 ;0,000 ;0,002 ;0,006 ; 20.000.000,00 ; 84,72 ; 4.819.365,10 ; 14,82 ; 9,92 ; 0,74 ; 0,04 ; 0,29 ; 1,01 ; 1,55 ; 1,63 ; 1,64 ; 1,38 ; 83,60 ; 19.477.400,00 ; 59.907,75 ; 2,13 ; 125.206,56 ; 1,00 ; 41,20 ; 11,65 ; 1,13 ; 44,00 ; 4,36 ; 0,93 
966;Mainframe;United Kingdom;Social & Comunidade; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 20.550.000,00 ; 87,38 ; 366.844,10 ; 5,55 ; 8,81 ; 2,35 ; 0,09 ; 0,39 ; 1,36 ; 1,46 ; 1,71 ; 1,68 ; 1,85 ; 83,30 ; 2.688.678,99 ; 40.622,69 ; 2,58 ; 138.421,20 ; 0,78 ; 32,60 ; 6,78 ; 0,73 ; 30,90 ; 4,33 ; 0,93 
976;Narrative;United States;Entretenimento & Mídia; 2.018 ;0,004 ;0,000 ;0,004 ;0,000 ; 14.642.183,00 ; 84,72 ; 4.819.365,10 ; 14,82 ; 9,92 ; 0,74 ; 0,04 ; 0,29 ; 1,01 ; 1,55 ; 1,63 ; 1,64 ; 1,38 ; 83,60 ; 19.477.400,00 ; 59.907,75 ; 2,13 ; 125.206,56 ; 1,00 ; 41,20 ; 11,65 ; 1,13 ; 44,00 ; 4,36 ; 0,93 
977;NKN;United States;Tecnologia & Inovação; 2.018 ;0,004;0,000 ;0,002;0,002; 12.600.000,00 ; 84,72 ; 4.819.365,10 ; 14,82 ; 9,92 ; 0,74 ; 0,04 ; 0,29 ; 1,01 ; 1,55 ; 1,63 ; 1,64 ; 1,38 ; 83,60 ; 19.477.400,00 ; 59.907,75 ; 2,13 ; 125.206,56 ; 1,00 ; 41,20 ; 11,65 ; 1,13 ; 44,00 ; 4,36 ; 0,93 
984;Phantasma;Portugal;Tecnologia & Inovação; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 9.650.000,00 ; 71,91 ; 49.461,20 ; 4,81 ; 27,47 ; 2,59 ; 0,00 ; 1,13 ; 1,17 ; 1,21 ; 0,88 ; 1,14 ; 0,84 ; 76,50 ; 242.438,14 ; 23.562,55 ; 1,00 ; 9.781,69 ; 169,77 ; 33,50 ; 7,04 ; 9,43 ; 39,80 ; 6,99 ; 0,86 
990;Retail.Global;Russian Federation;Comércio & Varejo; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 1.120.000,00 ; 83,52 ; 1.594.550,30 ; 11,04 ; 3,25 ; -   ; 0,15 ;-0,64 ;-1,09 ;-0,15 ;-0,51 ;-0,83 ;-0,89 ; 75,30 ; 1.573.771,79 ; 10.720,33 ; 3,68 ; 432.742,20 ; 58,31 ; 37,20 ; 10,51 ; 10,00 ; 47,40 ; 5,21 ; 0,84 
1005;UChain;Canada;Tecnologia & Inovação; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 9.730.000,00 ; 85,06 ; 568.175,90 ; 15,55 ; 22,35 ; 1,33 ; 0,07 ; 1,10 ; 1,48 ; 1,85 ; 1,88 ; 1,79 ; 1,92 ; 79,50 ; 1.650.650,96 ; 45.129,43 ; 1,61 ; 86.677,67 ; 1,30 ; 33,30 ; 5,22 ; 0,45 ; 21,00 ; 6,34 ; 0,93 
1006;Uranus;China;Tecnologia & Inovação; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 11.110.000,00 ; 65,10 ; 10.089.273,20 ; 7,23 ; 13,14 ; 0,67 ; 0,04 ;-0,23 ;-1,50 ; 0,44 ;-0,16 ;-0,24 ;-0,27 ; 64,60 ; 12.298.675,29 ; 8.817,05 ; 1,52 ; 3.161.814,43 ; 6,76 ; 39,10 ; 8,56 ; 1,74 ; 68,20 ; 4,47 ; 0,76 
1016;Agro Stock Exchange;Ukraine;Energia & Sustentabilidade; 2.018 ;0,006 ;0,000 ;0,004 ;0,002 ; 355.000,00 ; 79,69 ; 174.938,30 ; 3,90 ; 6,48 ; 0,16 ; 0,03 ;-1,87 ; 0,01 ;-0,49 ;-0,27 ;-0,74 ;-0,81 ; 65,40 ; 111.327,14 ; 2.638,33 ; -   ; 18.808,45 ; 26,62 ; 26,00 ; 11,90 ; 54,54 ; 52,30 ; 9,50 ; 0,78 
1029;Decentralized Machine Learning;Singapore;Tecnologia & Inovação; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 3.780.000,00 ; 87,04 ; 47.324,20 ; 8,43 ; 0,70 ; 0,27 ; 0,12 ; 1,62 ;-0,17 ; 2,21 ; 2,11 ; 1,82 ; 2,13 ; 85,40 ; 343.357,49 ; 61.164,90 ; 0,57 ; 371.487,40 ; 1,38 ; -   ; 9,18 ; 1,40 ; 19,10 ; 4,20 ; 0,94 
1037;everiToken;Belarus;Finanças & Economia; 2.019 ;0,000 ;0,000 ;0,000 ;0,000 ; 1.600.000,00 ; 82,30 ; 56.247,00 ; 5,95 ; 7,28 ; -   ; 0,02 ;-0,05 ;-1,36 ;-0,32 ;-0,84 ;-0,86 ;-0,22 ; 72,60 ; 54.601,08 ; 5.785,53 ; 6,02 ; 5.510,09 ; 1,93 ; 25,40 ; 14,58 ; 12,85 ; 52,70 ; 5,65 ; 0,82 
1058;LTO Network;Netherlands;Governança & Legal; 2.019 ;0,000 ;0,000 ;0,000 ;0,000 ; 4.080.000,00 ; 82,03 ; 155.710,90 ; 9,09 ; 6,39 ; 3,37 ; 0,06 ; 0,92 ; 1,50 ; 1,85 ; 2,05 ; 1,79 ; 1,78 ; 75,60 ; 835.104,94 ; 48.675,22 ; 1,39 ; 13.899,91 ; 1,95 ; 28,50 ; 6,08 ; 2,31 ; 40,40 ; 4,84 ; 0,94 
1064;Open Platform;United States;Tecnologia & Inovação; 2.018 ;0,008 ;0,000 ;0,004 ;0,004 ; 18.000.000,00 ; 84,72 ; 4.819.365,10 ; 14,82 ; 9,92 ; 0,74 ; 0,04 ; 0,29 ; 1,01 ; 1,55 ; 1,63 ; 1,64 ; 1,38 ; 83,60 ; 19.477.400,00 ; 59.907,75 ; 2,13 ; 125.206,56 ; 1,00 ; 41,20 ; 11,65 ; 1,13 ; 44,00 ; 4,36 ; 0,93 
1071;ShipChain;United States;Logística & Transporte; 2.018 ;0,002 ;0,000 ;0,000 ;0,002 ; 30.000.000,00 ; 84,72 ; 4.819.365,10 ; 14,82 ; 9,92 ; 0,74 ; 0,04 ; 0,29 ; 1,01 ; 1,55 ; 1,63 ; 1,64 ; 1,38 ; 83,60 ; 19.477.400,00 ; 59.907,75 ; 2,13 ; 125.206,56 ; 1,00 ; 41,20 ; 11,65 ; 1,13 ; 44,00 ; 4,36 ; 0,93 
1090;Alchemint;Singapore;Finanças & Economia; 2.018 ;0,006 ;0,000 ;0,002 ;0,004 ; 30.000.000,00 ; 87,04 ; 47.324,20 ; 8,43 ; 0,70 ; 0,27 ; 0,12 ; 1,62 ;-0,17 ; 2,21 ; 2,11 ; 1,82 ; 2,13 ; 85,40 ; 343.357,49 ; 61.164,90 ; 0,57 ; 371.487,40 ; 1,38 ; -   ; 9,18 ; 1,40 ; 19,10 ; 4,20 ; 0,94 
1103;Clears;Hong Kong SAR, China;Governança & Legal; 2.018 ;0,004 ;0,000 ;0,000 ;0,004 ; 11.761.164,00 ; 65,10 ; -   ; -   ; 0,20 ; -   ; 0,11 ; 0,83 ; 0,43 ; 1,90 ; 2,16 ; 1,71 ; 1,61 ; 84,80 ; 341.223,61 ; 46.160,43 ; 1,48 ; 431.370,00 ; 7,79 ; -   ; 9,83 ; 0,67 ; 22,90 ; 3,12 ; -   
1122;Jarvis+;Belarus;Tecnologia & Inovação; 2.019 ;0,000 ;0,000 ;0,000 ;0,000 ; 1.494.172,00 ; 82,30 ; 56.247,00 ; 5,95 ; 7,28 ; -   ; 0,02 ;-0,05 ;-1,36 ;-0,32 ;-0,84 ;-0,86 ;-0,22 ; 72,60 ; 54.601,08 ; 5.785,53 ; 6,02 ; 5.510,09 ; 1,93 ; 25,40 ; 14,58 ; 12,85 ; 52,70 ; 5,65 ; 0,82 
1158;Aditus;Singapore;Comércio & Varejo; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 7.100.193,00 ; 87,04 ; 47.324,20 ; 8,43 ; 0,70 ; 0,27 ; 0,12 ; 1,62 ;-0,17 ; 2,21 ; 2,11 ; 1,82 ; 2,13 ; 85,40 ; 343.357,49 ; 61.164,90 ; 0,57 ; 371.487,40 ; 1,38 ; -   ; 9,18 ; 1,40 ; 19,10 ; 4,20 ; 0,94 
1178;Flash;Czech Republic;Finanças & Economia; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 633.385,00 ; 84,67 ; 103.549,90 ; 9,77 ; 14,46 ; 2,40 ; 0,10 ; 1,00 ; 0,88 ; 1,06 ; 1,23 ; 1,12 ; 0,60 ; 76,40 ; 220.064,71 ; 20.636,20 ; 2,47 ; 147.973,78 ; 23,37 ; 24,90 ; 6,48 ; 3,74 ; 46,10 ; -   ; 0,89 
1196;PAL Network;Singapore;Entretenimento & Mídia; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 20.480.000,00 ; 87,04 ; 47.324,20 ; 8,43 ; 0,70 ; 0,27 ; 0,12 ; 1,62 ;-0,17 ; 2,21 ; 2,11 ; 1,82 ; 2,13 ; 85,40 ; 343.357,49 ; 61.164,90 ; 0,57 ; 371.487,40 ; 1,38 ; -   ; 9,18 ; 1,40 ; 19,10 ; 4,20 ; 0,94 
1214;Atonomi;United States;Tecnologia & Inovação; 2.018 ;0,008 ;0,000 ;0,006 ;0,002 ; 25.000.000,00 ; 84,72 ; 4.819.365,10 ; 14,82 ; 9,92 ; 0,74 ; 0,04 ; 0,29 ; 1,01 ; 1,55 ; 1,63 ; 1,64 ; 1,38 ; 83,60 ; 19.477.400,00 ; 59.907,75 ; 2,13 ; 125.206,56 ; 1,00 ; 41,20 ; 11,65 ; 1,13 ; 44,00 ; 4,36 ; 0,93 
1231;Hero Node;China;Tecnologia & Inovação; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 21.770.000,00 ; 65,10 ; 10.089.273,20 ; 7,23 ; 13,14 ; 0,67 ; 0,04 ;-0,23 ;-1,50 ; 0,44 ;-0,16 ;-0,24 ;-0,27 ; 64,60 ; 12.298.675,29 ; 8.817,05 ; 1,52 ; 3.161.814,43 ; 6,76 ; 39,10 ; 8,56 ; 1,74 ; 68,20 ; 4,47 ; 0,76 
1263;Centra;United States;Finanças & Economia; 2.017 ;0,000 ;0,000 ;0,000 ;0,000 ; 26.100.000,00 ; 84,72 ; 4.819.365,10 ; 14,82 ; 9,92 ; 0,74 ; 0,04 ; 0,29 ; 1,01 ; 1,55 ; 1,63 ; 1,64 ; 1,38 ; 83,60 ; 19.477.400,00 ; 59.907,75 ; 2,13 ; 125.206,56 ; 1,00 ; 41,20 ; 11,65 ; 1,13 ; 44,00 ; 4,36 ; 0,93 
1266;CPChain;China;Tecnologia & Inovação; 2.018 ;0,004 ;0,000 ;0,002 ;0,002 ; 30.000.000,00 ; 65,10 ; 10.089.273,20 ; 7,23 ; 13,14 ; 0,67 ; 0,04 ;-0,23 ;-1,50 ; 0,44 ;-0,16 ;-0,24 ;-0,27 ; 64,60 ; 12.298.675,29 ; 8.817,05 ; 1,52 ; 3.161.814,43 ; 6,76 ; 39,10 ; 8,56 ; 1,74 ; 68,20 ; 4,47 ; 0,76 
1281;Olympus Labs;United States;Finanças & Economia; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 60.320.000,00 ; 84,72 ; 4.819.365,10 ; 14,82 ; 9,92 ; 0,74 ; 0,04 ; 0,29 ; 1,01 ; 1,55 ; 1,63 ; 1,64 ; 1,38 ; 83,60 ; 19.477.400,00 ; 59.907,75 ; 2,13 ; 125.206,56 ; 1,00 ; 41,20 ; 11,65 ; 1,13 ; 44,00 ; 4,36 ; 0,93 
1284;peerguess;Turkey;Finanças & Economia; 2.017 ;0,000 ;0,000 ;0,000 ;0,000 ; 812.765,00 ; 67,68 ; 418.098,20 ; 5,09 ; 11,40 ; 3,09 ; 0,11 ;-1,79 ;-0,71 ; 0,05 ; 0,06 ;-0,30 ;-0,18 ; 69,40 ; 856.222,31 ; 10.464,01 ; 11,16 ; 107.730,00 ; 3,65 ; 41,40 ; 10,72 ; 2,84 ; 40,50 ; 10,82 ; 0,84 
1296;Trinity;China;Tecnologia & Inovação; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 20.000.000,00 ; 65,10 ; 10.089.273,20 ; 7,23 ; 13,14 ; 0,67 ; 0,04 ;-0,23 ;-1,50 ; 0,44 ;-0,16 ;-0,24 ;-0,27 ; 64,60 ; 12.298.675,29 ; 8.817,05 ; 1,52 ; 3.161.814,43 ; 6,76 ; 39,10 ; 8,56 ; 1,74 ; 68,20 ; 4,47 ; 0,76 
1297;UNICOIN;Germany;Finanças & Economia; 2.017 ;0,000 ;0,000 ;0,000 ;0,000 ; 2.574,00 ; 84,26 ; 732.204,20 ; 8,86 ; 15,22 ; 1,62 ; 0,13 ; 0,59 ; 1,43 ; 1,65 ; 1,78 ; 1,60 ; 1,84 ; 79,60 ; 3.697.221,31 ; 44.652,59 ; 1,45 ; 64.443,26 ; 1,73 ; 31,90 ; 6,33 ; 1,50 ; 48,90 ; 3,75 ; 0,94 
1302;Aion;Canada;Tecnologia & Inovação; 2.017 ;0,006 ;0,000 ;0,002 ;0,004 ; 20.000.000,00 ; 85,06 ; 568.175,90 ; 15,55 ; 22,35 ; 1,33 ; 0,07 ; 1,10 ; 1,48 ; 1,85 ; 1,88 ; 1,79 ; 1,92 ; 79,50 ; 1.650.650,96 ; 45.129,43 ; 1,61 ; 86.677,67 ; 1,30 ; 33,30 ; 5,22 ; 0,45 ; 21,00 ; 6,34 ; 0,93 
1310;ChainLink;United States;Tecnologia & Inovação; 2.017 ;0,004 ;0,000 ;0,002 ;0,002 ; 32.000.000,00 ; 84,72 ; 4.819.365,10 ; 14,82 ; 9,92 ; 0,74 ; 0,04 ; 0,29 ; 1,01 ; 1,55 ; 1,63 ; 1,64 ; 1,38 ; 83,60 ; 19.477.400,00 ; 59.907,75 ; 2,13 ; 125.206,56 ; 1,00 ; 41,20 ; 11,65 ; 1,13 ; 44,00 ; 4,36 ; 0,93 
1318;FaceCoin;United States;Finanças & Economia; 2.017 ;0,010 ;0,000 ;0,000 ;0,010 ; 840.000,00 ; 84,72 ; 4.819.365,10 ; 14,82 ; 9,92 ; 0,74 ; 0,04 ; 0,29 ; 1,01 ; 1,55 ; 1,63 ; 1,64 ; 1,38 ; 83,60 ; 19.477.400,00 ; 59.907,75 ; 2,13 ; 125.206,56 ; 1,00 ; 41,20 ; 11,65 ; 1,13 ; 44,00 ; 4,36 ; 0,93 
1324;Peerplays;Canada;Entretenimento & Mídia; 2.017 ;0,000 ;0,000 ;0,000 ;0,000 ; 5.000.000,00 ; 85,06 ; 568.175,90 ; 15,55 ; 22,35 ; 1,33 ; 0,07 ; 1,10 ; 1,48 ; 1,85 ; 1,88 ; 1,79 ; 1,92 ; 79,50 ; 1.650.650,96 ; 45.129,43 ; 1,61 ; 86.677,67 ; 1,30 ; 33,30 ; 5,22 ; 0,45 ; 21,00 ; 6,34 ; 0,93 
1326;RenCap;Singapore;Finanças & Economia; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 300.000,00 ; 87,04 ; 47.324,20 ; 8,43 ; 0,70 ; 0,27 ; 0,12 ; 1,62 ;-0,17 ; 2,21 ; 2,11 ; 1,82 ; 2,13 ; 85,40 ; 343.357,49 ; 61.164,90 ; 0,57 ; 371.487,40 ; 1,38 ; -   ; 9,18 ; 1,40 ; 19,10 ; 4,20 ; 0,94 
1368;Algorand;United States;Tecnologia & Inovação; 2.019 ;0,002 ;0,002 ;0,000 ;0,000 ; 122.400.000,00 ; 84,72 ; 4.819.365,10 ; 14,82 ; 9,92 ; 0,74 ; 0,04 ; 0,29 ; 1,01 ; 1,55 ; 1,63 ; 1,64 ; 1,38 ; 83,60 ; 19.477.400,00 ; 59.907,75 ; 2,13 ; 125.206,56 ; 1,00 ; 41,20 ; 11,65 ; 1,13 ; 44,00 ; 4,36 ; 0,93 
1399;Triaconta;Netherlands;Finanças & Economia; 2.017 ;0,000 ;0,000 ;0,000 ;0,000 ; 1.178.612,00 ; 82,03 ; 155.710,90 ; 9,09 ; 6,39 ; 3,37 ; 0,06 ; 0,92 ; 1,50 ; 1,85 ; 2,05 ; 1,79 ; 1,78 ; 75,60 ; 835.104,94 ; 48.675,22 ; 1,39 ; 13.899,91 ; 1,95 ; 28,50 ; 6,08 ; 2,31 ; 40,40 ; 4,84 ; 0,94 
1402;Vio;Mauritius;Entretenimento & Mídia; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 1.200.000,00 ; 70,85 ; 4.174,40 ; 3,30 ; 9,42 ; 2,52 ; 0,08 ; 0,97 ; 0,79 ; 1,00 ; 1,06 ; 0,69 ; 0,19 ; 76,50 ; 13.675,52 ; 10.841,68 ; 3,69 ; 5.833,80 ; 34,57 ; 36,80 ; 10,08 ; 7,03 ; 21,80 ; 6,75 ; 0,81 
1411;CryptoHawk;Switzerland;Finanças & Economia; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 700.000,00 ; 86,93 ; 38.699,00 ; 4,58 ; 24,99 ; 1,41 ; 0,03 ; 1,26 ; 1,56 ; 2,05 ; 1,88 ; 1,92 ; 1,98 ; 76,40 ; 695.787,24 ; 82.254,38 ; 0,53 ; 769.367,66 ; 0,98 ; 32,70 ; 8,02 ; 0,64 ; 28,80 ; 4,80 ; 0,96 
1414;CAREONchain;Singapore;Saúde & Bem-Estar; 2.018 ;0,006 ;0,002 ;0,004 ;0,000 ; 2.000.000,00 ; 87,04 ; 47.324,20 ; 8,43 ; 0,70 ; 0,27 ; 0,12 ; 1,62 ;-0,17 ; 2,21 ; 2,11 ; 1,82 ; 2,13 ; 85,40 ; 343.357,49 ; 61.164,90 ; 0,57 ; 371.487,40 ; 1,38 ; -   ; 9,18 ; 1,40 ; 19,10 ; 4,20 ; 0,94 
1425;InnovaMinex;Estonia;Energia & Sustentabilidade; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 4.000.000,00 ; 88,59 ; 16.773,50 ; 12,73 ; 27,52 ; 2,87 ; -   ; 0,65 ; 1,21 ; 1,11 ; 1,64 ; 1,28 ; 1,24 ; 80,70 ; 26.905,55 ; 20.437,77 ; 3,41 ; 341,43 ; 13,88 ; 30,40 ; 12,77 ; 0,70 ; 48,50 ; 5,81 ; 0,89 
1429;Sylo;Singapore;Social & Comunidade; 2.018 ;0,004 ;0,000 ;0,000 ;0,004 ; 10.600.000,00 ; 87,04 ; 47.324,20 ; 8,43 ; 0,70 ; 0,27 ; 0,12 ; 1,62 ;-0,17 ; 2,21 ; 2,11 ; 1,82 ; 2,13 ; 85,40 ; 343.357,49 ; 61.164,90 ; 0,57 ; 371.487,40 ; 1,38 ; -   ; 9,18 ; 1,40 ; 19,10 ; 4,20 ; 0,94 
1430;XAYA;Malta;Entretenimento & Mídia; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 2.300.000,00 ; 88,48 ; 1.521,20 ; 3,25 ; 7,27 ; 2,54 ; -   ; 1,25 ; 1,17 ; 1,00 ; 1,28 ; 1,14 ; 0,74 ; 64,80 ; 13.489,13 ; 28.823,35 ; 1,36 ; 829,29 ; 0,38 ; 29,20 ; 8,52 ; 4,07 ; 43,80 ; 4,00 ; 0,91 
1435;Cloudbric;Singapore;Tecnologia & Inovação; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 986.750,00 ; 87,04 ; 47.324,20 ; 8,43 ; 0,70 ; 0,27 ; 0,12 ; 1,62 ;-0,17 ; 2,21 ; 2,11 ; 1,82 ; 2,13 ; 85,40 ; 343.357,49 ; 61.164,90 ; 0,57 ; 371.487,40 ; 1,38 ; -   ; 9,18 ; 1,40 ; 19,10 ; 4,20 ; 0,94 
1436;Ferrum Network;Malta;Tecnologia & Inovação; 2.019 ;0,000 ;0,000 ;0,000 ;0,000 ; 1.120.000,00 ; 88,48 ; 1.521,20 ; 3,25 ; 7,27 ; 2,54 ; -   ; 1,25 ; 1,17 ; 1,00 ; 1,28 ; 1,14 ; 0,74 ; 64,80 ; 13.489,13 ; 28.823,35 ; 1,36 ; 829,29 ; 0,38 ; 29,20 ; 8,52 ; 4,07 ; 43,80 ; 4,00 ; 0,91 
1437;Pledgecamp;Cayman Islands;Finanças & Economia; 2.019 ;0,000 ;0,000 ;0,000 ;0,000 ; 700.000,00 ; -   ; -   ; -   ; 0,01 ; -   ; -   ; 1,19 ; 0,49 ; 1,22 ; 0,75 ; 0,77 ; 0,52 ; -   ; -   ; 81.255,11 ; -   ; -   ; 0,83 ; -   ; -   ; -   ; -   ; -   ; -   
1438;QuarkChain;United States;Tecnologia & Inovação; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 4.000.000,00 ; 84,72 ; 4.819.365,10 ; 14,82 ; 9,92 ; 0,74 ; 0,04 ; 0,29 ; 1,01 ; 1,55 ; 1,63 ; 1,64 ; 1,38 ; 83,60 ; 19.477.400,00 ; 59.907,75 ; 2,13 ; 125.206,56 ; 1,00 ; 41,20 ; 11,65 ; 1,13 ; 44,00 ; 4,36 ; 0,93 
1439;Roobee;Estonia;Finanças & Economia; 2.019 ;0,000 ;0,000 ;0,000 ;0,000 ; 4.500.000,00 ; 88,59 ; 16.773,50 ; 12,73 ; 27,52 ; 2,87 ; -   ; 0,65 ; 1,21 ; 1,11 ; 1,64 ; 1,28 ; 1,24 ; 80,70 ; 26.905,55 ; 20.437,77 ; 3,41 ; 341,43 ; 13,88 ; 30,40 ; 12,77 ; 0,70 ; 48,50 ; 5,81 ; 0,89 
1440;SilkChain;Singapore;Logística & Transporte; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 10.000.000,00 ; 87,04 ; 47.324,20 ; 8,43 ; 0,70 ; 0,27 ; 0,12 ; 1,62 ;-0,17 ; 2,21 ; 2,11 ; 1,82 ; 2,13 ; 85,40 ; 343.357,49 ; 61.164,90 ; 0,57 ; 371.487,40 ; 1,38 ; -   ; 9,18 ; 1,40 ; 19,10 ; 4,20 ; 0,94 
1441;Blockchain.io;France;Finanças & Economia; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 1.500.000,00 ; 88,20 ; 317.721,20 ; 4,75 ; 14,12 ; 2,42 ; 0,05 ; 0,28 ; 1,15 ; 1,34 ; 1,15 ; 1,43 ; 1,26 ; 76,30 ; 2.598.768,09 ; 38.781,05 ; 1,03 ; 58.710,33 ; 5,82 ; 31,60 ; 6,59 ; 3,12 ; 64,10 ; 9,41 ; 0,90 
1443;Consentium;Singapore;Social & Comunidade; 2.018 ;0,009 ;0,000 ;0,009 ;0,000 ; 42.000.000,00 ; 87,04 ; 47.324,20 ; 8,43 ; 0,70 ; 0,27 ; 0,12 ; 1,62 ;-0,17 ; 2,21 ; 2,11 ; 1,82 ; 2,13 ; 85,40 ; 343.357,49 ; 61.164,90 ; 0,57 ; 371.487,40 ; 1,38 ; -   ; 9,18 ; 1,40 ; 19,10 ; 4,20 ; 0,94 
1444;Contentos;Singapore;Entretenimento & Mídia; 2.019 ;0,012;0,000 ;0,004 ;0,009 ; 31.230.000,00 ; 87,04 ; 47.324,20 ; 8,43 ; 0,70 ; 0,27 ; 0,12 ; 1,62 ;-0,17 ; 2,21 ; 2,11 ; 1,82 ; 2,13 ; 85,40 ; 343.357,49 ; 61.164,90 ; 0,57 ; 371.487,40 ; 1,38 ; -   ; 9,18 ; 1,40 ; 19,10 ; 4,20 ; 0,94 
1447;Enkronos;Slovenia;Comércio & Varejo; 2.018 ;0,004 ;0,000 ;0,002 ;0,002 ; 12.600.000,00 ; 88,98 ; 14.123,70 ; 6,83 ; 19,71 ; 4,43 ; 0,08 ; 0,87 ; 1,01 ; 1,17 ; 0,58 ; 1,02 ; 0,81 ; 75,40 ; 48.769,07 ; 23.514,03 ; 1,43 ; 880,53 ; 212,57 ; 24,20 ; -   ; 3,20 ; 31,00 ; 6,56 ; 0,92 
1450;Mandala;Cayman Islands;Finanças & Economia; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 18.200.000,00 ; -   ; -   ; -   ; 0,01 ; -   ; -   ; 1,19 ; 0,49 ; 1,22 ; 0,75 ; 0,77 ; 0,52 ; -   ; -   ; 81.255,11 ; -   ; -   ; 0,83 ; -   ; -   ; -   ; -   ; -   ; -   
1451;Max Crowdfund;Netherlands;Finanças & Economia; 2.019 ;0,000 ;0,000 ;0,000 ;0,000 ; 750.000,00 ; 82,03 ; 155.710,90 ; 9,09 ; 6,39 ; 3,37 ; 0,06 ; 0,92 ; 1,50 ; 1,85 ; 2,05 ; 1,79 ; 1,78 ; 75,60 ; 835.104,94 ; 48.675,22 ; 1,39 ; 13.899,91 ; 1,95 ; 28,50 ; 6,08 ; 2,31 ; 40,40 ; 4,84 ; 0,94 
1453;Raido Financial;Belize;Finanças & Economia; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 920.000,00 ; 73,55 ; 643,10 ; 1,72 ; 37,24 ; 0,12 ; -   ; 0,04 ; 0,57 ;-0,64 ;-0,54 ;-0,96 ;-0,28 ; 55,40 ; -   ; 6.100,99 ; 1,14 ; 312,14 ; 2,00 ; -   ; -   ; -   ; 31,10 ; 6,60 ; 0,71 
