id;name;país;category; Ano ;ESG;E;S;G; Raised ; EPI ; CO2_E ; CO2_pc ; E_RNEW ; EnvironmentalTaxesgdp ; WUI ; PolStab ; VoiceandAccountability ; GovernmentEffectiveness ; RegulatoryQuality ; RuleofLaw ; ControlofCorruption ; Easeofdoingbusiness ; GDPUSD ; GDPpc ; Consumerprice ; Reservas ; Exchanderate ; Giniindex ; Bankcapital ; nonperformingloans ; Payingtax ; Unemployment ; IDH 
21233;dClinic;Singapore;Saúde & Bem-Estar; 2.018 ;0,008 ;0,000 ;0,006 ;0,002 ; 20.500.000,00 ; 87,04 ; 47.324,20 ; 8,43 ; 0,70 ; 0,27 ; 0,12 ; 1,62 ;-0,17 ; 2,21 ; 2,11 ; 1,82 ; 2,13 ; 85,40 ; 343.357,49 ; 61.164,90 ; 0,57 ; 371.487,40 ; 1,38 ; -   ; 9,18 ; 1,40 ; 19,10 ; 4,20 ; 0,94 
12873;HUSSY;Estonia;Entretenimento & Mídia; 2.018 ;0,008 ;0,000 ;0,002 ;0,006 ; 10,00 ; 88,59 ; 16.773,50 ; 12,73 ; 27,52 ; 2,87 ; -   ; 0,65 ; 1,21 ; 1,11 ; 1,64 ; 1,28 ; 1,24 ; 80,70 ; 26.905,55 ; 20.437,77 ; 3,41 ; 341,43 ; 13,88 ; 30,40 ; 12,77 ; 0,70 ; 48,50 ; 5,81 ; 0,89 
5113;KWHCoin;United States;Energia & Sustentabilidade; 2.018 ;0,010 ;0,008 ;0,000 ;0,002 ; 366.859,00 ; 84,72 ; 4.819.365,10 ; 14,82 ; 9,92 ; 0,74 ; 0,04 ; 0,29 ; 1,01 ; 1,55 ; 1,63 ; 1,64 ; 1,38 ; 83,60 ; 19.477.400,00 ; 59.907,75 ; 2,13 ; 125.206,56 ; 1,00 ; 41,20 ; 11,65 ; 1,13 ; 44,00 ; 4,36 ; 0,93 
18784;Bitminer Factory;Bosnia and Herzegovina;Energia & Sustentabilidade; 2.018 ;0,014 ;0,006 ;0,004 ;0,004 ; 2.070.410,00 ; 63,28 ; 22.692,70 ; 6,60 ; 18,49 ; -   ; 0,10 ;-0,35 ;-0,21 ;-0,48 ;-0,04 ;-0,18 ;-0,53 ; 64,80 ; 18.132,71 ; 5.327,39 ; 0,80 ; 6.397,03 ; 1,73 ; -   ; 14,01 ; 10,05 ; 22,60 ; 20,53 ; 0,78 
397;Blocklancer;Austria;Social & Comunidade; 2.017 ;0,004 ;0,000 ;0,002 ;0,002 ; 5.475.789,00 ; 86,64 ; 65.867,70 ; 7,49 ; 33,97 ; 2,53 ; 0,07 ; 1,05 ; 1,39 ; 1,50 ; 1,44 ; 1,83 ; 1,54 ; 78,90 ; 417.617,98 ; 47.429,16 ; 2,07 ; 10.344,89 ; 12,20 ; 29,70 ; 7,54 ; 2,37 ; 51,60 ; 5,50 ; 0,92 
1919;CyberTrust;Luxembourg;Tecnologia & Inovação; 2.018 ;0,004 ;0,000 ;0,000 ;0,004 ; 17.635.787,00 ; 86,58 ; 9.006,50 ; 15,10 ; 15,32 ; 1,66 ; -   ; 1,33 ; 1,52 ; 1,68 ; 1,69 ; 1,73 ; 1,98 ; 69,20 ; 65.664,47 ; 110.193,21 ; 1,73 ; 788,09 ; 35,78 ; 34,50 ; 8,35 ; 0,79 ; 20,80 ; 5,52 ; 0,92 
12397;TrustedCars Flex;Germany;Logística & Transporte; 2.018 ;0,002 ;0,000 ;0,002 ;0,000 ; 8.120.000,00 ; 84,26 ; 732.204,20 ; 8,86 ; 15,22 ; 1,62 ; 0,13 ; 0,59 ; 1,43 ; 1,65 ; 1,78 ; 1,60 ; 1,84 ; 79,60 ; 3.697.221,31 ; 44.652,59 ; 1,45 ; 64.443,26 ; 1,73 ; 31,90 ; 6,33 ; 1,50 ; 48,90 ; 3,75 ; 0,94 
19556;Sansox;Finland;Finanças & Economia; 2.018 ;0,004 ;0,002 ;0,002 ;0,000 ; 76.102,00 ; 90,68 ; 43.015,40 ; 7,81 ; 44,48 ; 2,98 ; 0,02 ; 1,08 ; 1,56 ; 2,01 ; 1,82 ; 2,06 ; 2,20 ; 80,10 ; 255.745,93 ; 46.412,14 ; 0,75 ; 8.536,59 ; 5,27 ; 27,40 ; 9,03 ; 1,67 ; 38,10 ; 8,64 ; 0,94 
21326;SprinkleCoin;Georgia;Finanças & Economia; 2.018 ;0,008 ;0,000 ;0,006 ;0,002 ; 10.816.979,00 ; 64,96 ; 9.907,10 ; 2,66 ; 27,52 ; 1,49 ; 0,04 ;-0,37 ; 0,26 ; 0,52 ; 0,96 ; 0,28 ; 0,79 ; 80,80 ; 16.261,10 ; 4.356,93 ; 6,03 ; 3.039,26 ; 2,51 ; 37,90 ; 12,82 ; 2,78 ; 16,40 ; 13,94 ; 0,80 
1608;Simple Token;Hong Kong SAR, China;Finanças & Economia; 2.017 ;0,010 ;0,000 ;0,006 ;0,004 ; 22.000.000,00 ; 65,10 ; -   ; -   ; 0,20 ; -   ; 0,11 ; 0,83 ; 0,43 ; 1,90 ; 2,16 ; 1,71 ; 1,61 ; 84,80 ; 341.223,61 ; 46.160,43 ; 1,48 ; 431.370,00 ; 7,79 ; -   ; 9,83 ; 0,67 ; 22,90 ; 3,12 ; -   
3708;eWaiter;Russian Federation;Comércio & Varejo; 2.018 ;0,006 ;0,000 ;0,004 ;0,002 ; 400.000,00 ; 83,52 ; 1.594.550,30 ; 11,04 ; 3,25 ; -   ; 0,15 ;-0,64 ;-1,09 ;-0,15 ;-0,51 ;-0,83 ;-0,89 ; 75,30 ; 1.573.771,79 ; 10.720,33 ; 3,68 ; 432.742,20 ; 58,31 ; 37,20 ; 10,51 ; 10,00 ; 47,40 ; 5,21 ; 0,84 
8473;Etheal;Estonia;Saúde & Bem-Estar; 2.018 ;0,011 ;0,000 ;0,009 ;0,002 ; 820.000,00 ; 88,59 ; 16.773,50 ; 12,73 ; 27,52 ; 2,87 ; -   ; 0,65 ; 1,21 ; 1,11 ; 1,64 ; 1,28 ; 1,24 ; 80,70 ; 26.905,55 ; 20.437,77 ; 3,41 ; 341,43 ; 13,88 ; 30,40 ; 12,77 ; 0,70 ; 48,50 ; 5,81 ; 0,89 
