"Country" "Raised" "num" "ESG" "EPI" "CO2_E" "CO2_pc" "E_RNEW" "Env_Taxes_gdp" "WUI" "PolStab" "Voice_Account" "Gov_Effectiveness" "Regulatory_Quality" "Rule_Of_Law" "Control_Of_Corruption" "EODoing_business" "GDPUSD" "GDPpc" "Consumerprice" "Reservas" "Exchande_rate" "Gini_index" "Bank_capital" "non_performing_loans" "Paying_tax"
"Gibraltar" 15000000 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gibraltar" 11172608 1 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Greece" 0 20 0 85.81 66795.5 6.21 16.38 4.01 0.1 -0.07 0.66 0.27 0.24 0.07 -0.09 67.1 199825 18582.09 1.12 3277.46 302.26 34.4 12 45.57 50.7
"Greece" 13349569 23 0.01 73.6 65021.2 6.06 17.86 3.78 0.01 0.17 0.73 0.29 0.41 0.13 -0.03 67.1 211787.66 19756.99 0.63 3089.35 288.55 32.9 10.72 41.99 51.7
"Greece" 25000 9 0 73.6 59990.3 5.6 18.52 3.84 0.07 0.18 0.81 0.34 0.53 0.18 0.04 67.4 204686.38 19144.28 0.25 3122.8 304.33 33.1 10.98 36.45 51.9
"Greece" 0 22 0 69.1 51002.2 4.77 20.08 3.76 0.18 0.13 0.97 0.44 0.55 0.32 0.06 68.4 189331.1 17658.95 -1.25 5299.24 298.98 33.6 8.83 26.98 51.9
"Guinea-Bissau" 152598 75 0 48.2 306.6 0.16 86.75 0 0.08 -0.5 -0.8 -1.79 -1.21 -1.46 -1.58 42.8 0 718.25 0 0 582.03 0 0 0 45.5
"China Hong Kong SAR" 108652809 7 0.01 65.1 0 0 0.2 0 0.11 0.83 0.43 1.9 2.16 1.71 1.61 84.8 341223.61 46160.43 1.48 431370 7.79 0 9.83 0.67 22.9
"China Hong Kong SAR" 490423234 8 0.13 50.74 0 0 0.23 0 0.04 0.78 0.44 1.89 2.23 1.76 1.67 85 361796.55 48537.57 2.42 424670 7.84 0 9.49 0.55 22.9
"China Hong Kong SAR" 83124622 10 0.01 50.74 0 0 0.23 0 0.05 -0.22 0.13 1.73 1.98 1.6 1.69 85.1 363257.25 48359 2.89 441350 7.84 0 9.94 0.57 22.9
"China Hong Kong SAR" 4400000 1 0.01 28.4 0 0 0.27 0 0.03 0.09 0.04 1.65 1.79 1.58 1.65 85.3 345019.35 46109.23 0.25 491775 7.76 0 9.44 0.9 21.9
"Hungary" 2652000 1 0.03 65.01 49202.9 5.03 13.6 2.56 0.05 0.75 0.48 0.49 0.57 0.58 0.08 72.7 160281.25 16425.21 2.84 31360 270.21 29.6 0 2.47 46.4
"Hungary" 0 84 0 65.01 47261.8 4.84 13.64 2.46 0.07 0.77 0.34 0.49 0.6 0.52 0.06 73.2 163767.78 16786.21 3.34 31832 290.54 30 0 1.51 40.3
"Iceland" 0 6 0 78.57 1699.3 4.82 81.26 2.22 0 1.41 1.38 1.46 1.41 1.71 1.84 79 26382.08 74452.19 2.68 6242.48 108.17 0 17.03 2.51 29.9
"India" 20711412 25 0 53.58 2308804.4 1.7 32.57 0 0.02 -0.76 0.39 0.07 -0.24 -0.01 -0.27 55.9 2554683.87 1957.97 3.32 409072 65.11 35.9 7.39 9.98 56.2
"India" 116367136 2 0.07 30.57 2458175.9 1.8 32.73 0 0.01 -0.99 0.35 0.3 -0.21 0.02 -0.21 60.9 2732356.3 1974.38 3.95 395591 68.41 34.6 7.53 9.46 56.2
"India" 5078021 13 0 30.57 2423951.4 1.75 33.27 0 0.04 -0.77 0.27 0.16 -0.14 -0.04 -0.28 67.5 2805371.42 2050.16 3.72 459863 70.43 35.7 8.11 9.23 52.1
"India" 500000 1 0 27.6 2200836.3 1.58 35.82 0 0.06 -0.81 0.15 0.41 -0.11 -0.03 -0.27 71 2597964.58 1913.22 6.61 585771 74.12 0 8.1 7.94 49.7
"Indonesia" 35699809 12 0 65.85 515395.7 1.95 24.88 0 0.03 -0.5 0.13 0.01 0.04 -0.33 -0.28 64.7 1015254.62 3839.79 3.81 130196.38 13380.33 38.8 15.22 2.56 30.6
"Indonesia" 41102417 1 0.04 46.92 568007.6 2.13 22.05 0 0.01 -0.55 0.15 0.18 -0.01 -0.29 -0.28 66.9 1042394.37 3902.66 3.29 120654.27 14234.37 38.4 15.12 2.29 30
"Indonesia" 12626690 2 0 46.92 605290.6 2.25 19.77 0 0.1 -0.49 0.13 0.17 0.04 -0.32 -0.45 68.2 1119040.63 4151.23 2.82 129183.28 14144.5 37.6 15.63 2.43 30.1
"Indonesia" 0 19 0.02 37.8 563197 2.07 22.01 0 0.03 -0.45 0.1 0.35 0.23 -0.33 -0.43 69.6 1062261.46 3895.62 2.03 135896.66 14552.17 37.6 14.8 2.75 30.1
"Ireland" 5185660 29 0.01 86.6 37729.1 7.85 10.11 1.68 0.14 1 1.29 1.3 1.58 1.41 1.57 80.1 336913.69 69970.95 0.35 4172.02 0.7 31.4 14.35 11.46 26
"Ireland" 9943685 9 0.01 78.77 37473.6 7.7 10.83 1.56 0.1 1.02 1.28 1.41 1.63 1.44 1.57 80.1 385750.71 79250.39 0.48 4986.97 0.67 30.6 14.86 5.73 26
"Ireland" 1761686 29 0 78.77 35812.2 7.26 12.33 1.39 0.08 0.97 1.31 1.29 1.6 1.38 1.49 79.6 398168.85 80927.07 0.93 5452.09 0.7 30.8 13.47 3.36 26
"Ireland" 0 224 0 72.8 33742.2 6.77 13.69 1.18 0.1 0.98 1.39 1.47 1.48 1.49 1.56 79.6 427028.22 85420.19 -0.34 7115.08 0.69 29.2 11.36 3.54 26.1
"Israel" 179713874 2 0.01 78.14 65906.3 7.56 3.89 2.67 0.02 -0.89 0.7 1.38 1.27 1.02 0.82 74.2 358474.07 41114.78 0.25 113009.53 3.6 38.2 7.4 1.29 28.1
"Israel" 50000000 8 0.01 75.01 61424.5 6.91 3.85 2.65 0.03 -0.91 0.62 1.2 1.24 0.99 0.78 74.3 376090.22 42406.85 0.8 115265.9 3.59 38.6 7.43 1.23 27
"Israel" 3583857 39 0 75.01 62796.3 6.94 4.49 2.56 0.02 -0.79 0.66 1.32 1.28 1.04 0.8 75 402334.45 44452.23 0.84 0 3.56 0 7.55 1.39 26.2
"Israel" 600000 1 0.02 65.8 58471.8 6.35 5.61 2.34 0.04 -0.85 0.65 1.09 1.24 0.97 0.56 76.7 413654.16 44846.79 -0.59 0 3.44 0 6.75 1.48 25.3
"Italy" 860942 434 0 84.48 329193.3 5.44 16.43 3.38 0.05 0.31 0.99 0.52 0.7 0.34 0.2 71.8 1964957.54 32406.72 1.23 52808.14 1717.36 35.9 6.64 14.38 62
"Italy" 6134152 4 0.02 76.96 324884.2 5.38 17.08 3.35 0.08 0.34 0.95 0.44 0.72 0.26 0.24 73.2 2093435.33 34622.17 1.15 55411.89 1639.63 35.2 6.33 8.39 48
"Italy" 1000000 32 0 76.96 317223 5.31 17.27 3.3 0.1 0.4 0.91 0.48 0.95 0.3 0.26 73 2011615.01 33673.75 0.6 59740.69 1729.33 34.6 6.71 6.75 53.1
"Italy" 0 33 0 71 281286.8 4.73 18.69 3.1 0.08 0.43 1.06 0.39 0.5 0.24 0.54 72.9 1896138.11 31918.69 -0.15 66512.41 1699 35.2 6.6 4.36 59.1
"Jamaica" 2500000 43 0.01 58.58 8589 3.05 8.88 1.21 0.07 0.43 0.58 0.64 0.14 -0.2 -0.21 67.7 15679.61 5594.49 3.74 3005.41 129.31 0 0 0 33.1
"Japan" 195956229 2 0.03 80.59 1150835 9.06 6.92 1.33 0.03 1.11 1 1.61 1.37 1.56 1.52 77.9 4933750.46 38834.05 0.48 1233454.96 112.11 0 5.41 1.19 48.8
"Japan" 163425881 13 0.03 74.69 1111115.3 8.76 7.26 1.33 0.03 1.05 0.98 1.67 1.34 1.53 1.42 78 5045901.86 39751.13 0.97 1240519.08 110.34 0 5.45 1.07 47.4
"Japan" 1131111 1 0.01 74.69 1073645.3 8.48 7.76 1.28 0.02 1.03 0.93 1.58 1.33 1.53 1.46 78 5118891.75 40415.96 0.49 1287396.71 108.99 0 5.39 1.11 46.7
"Japan" 0 4 0 75.1 1014064.7 8.03 8.45 1.24 0.05 1.04 0.99 1.59 1.36 1.51 1.49 78 5047961.11 39986.93 -0.04 1349323.37 106.77 0 4.86 1.14 46.7
"Kazakhstan" 1000000 8 0 73.29 214897.7 11.91 2.01 1.98 0.04 0.03 -1.25 -0.03 0.17 -0.47 -0.82 74.8 160082.57 9247.58 7.46 30997 326.22 27.5 12.46 9.31 29.2
"Kazakhstan" 2304106 203 0.01 54.56 216896.7 11.87 1.88 1.61 0.04 -0.05 -1.21 -0.01 0.11 -0.49 -0.47 76.9 173230.75 9812.63 6.01 30927 345.05 27.8 11.78 7.39 29.2
"Kazakhstan" 5500000 1 0 54.56 204592.2 11.05 1.85 1.37 0.06 -0.17 -1.23 0.11 0.12 -0.49 -0.26 78 175111.53 9812.6 5.28 28958 383.06 0 13.25 8.14 29.4
"Kenya" 0 14 0 62.49 20097.2 0.41 71.03 2.15 0.14 -1.13 -0.2 -0.36 -0.26 -0.41 -0.95 62.8 82092.06 1675.99 7.96 9652 103.41 0 14.55 9.95 37.4
"Kenya" 0 2 0 47.25 19253.9 0.39 71.63 2.06 0.1 -1.18 -0.38 -0.47 -0.26 -0.41 -0.84 65.4 92258.99 1845.78 4.69 11516 101.27 0 14.33 11.69 37.4
"Kenya" 250000 22 0 47.25 19481.9 0.38 71.42 2.13 0.07 -1.1 -0.31 -0.44 -0.33 -0.44 -0.79 71 100367.49 1970.08 5.86 12919 102.01 0 15.58 12.01 37.2
"Korea" 23327688 1 0 70.61 626178.4 12.19 2.84 0 0.3 0.39 0.76 1.07 1.1 1.16 0.48 84 1623747.86 31616.84 1.94 389266.7 1130.91 0 7.99 0.35 33.1
"Korea" 30973239 30 0.01 62.3 630186.6 12.22 3.18 0 0.14 0.64 0.79 1.18 1.1 1.23 0.6 84 1725400.24 33436.92 1.48 403694.3 1100.45 0 7.96 0.25 33.1
"Korea" 6510000 37 0.02 62.3 612133.7 11.83 3.23 0 0.09 0.55 0.75 1.37 1.07 1.19 0.73 84 1651539.48 31902.42 0.38 408816.1 1165.65 0 7.82 0.25 33.1
"Korea" 50000 48 0.01 46.9 569681.8 10.99 3.63 0 0.11 0.57 0.82 1.41 1.04 1.18 0.72 84 1647749.37 31721.3 0.54 443098.1 1179.61 0 7.4 0.24 33.2
"Lao PDR" 4769155 368 0 42.94 19663.8 2.77 50.21 0 0.05 0.41 -1.75 -0.67 -0.79 -0.85 -0.97 50 0 2553.36 2.02 0 8401.33 38.8 0 0 26.2
"Lao PDR" 0 570 0 42.94 19170.9 2.66 48.72 0 0.02 0.52 -1.82 -0.78 -0.73 -0.95 -1.06 49.8 0 2598.51 3.29 0 8679.41 0 0 0 24.1
"Latvia" 5100190 3 0 85.71 7116.7 3.66 42.6 3.69 0.07 0.46 0.8 0.9 1.15 0.93 0.53 80.6 30425.21 15695.12 2.92 0 0.62 35.6 11.13 5.51 35.9
"Latvia" 14069564 8 0.03 66.12 7785.2 4.04 40.97 3.61 0.01 0.41 0.78 1.04 1.14 0.95 0.32 80 34410.05 17865.03 2.54 0 0.6 35.1 12.8 5.29 35.9
"Latvia" 10250000 2 0.01 66.12 7569.1 3.95 41.48 3.42 0.03 0.44 0.86 1.1 1.19 1.01 0.51 80.3 34342.5 17945.22 2.8 0 0.63 34.5 9.7 5 36
"Lithuania" 215011291 2 0.01 85.49 11222.2 3.97 33.78 2.06 0.01 0.78 0.99 0.96 1.15 0.99 0.55 79.2 47769.77 16885.41 3.72 4461.7 3.06 37.3 9.39 3.18 42.6
"Lithuania" 137867381 22 0.04 69.33 11652.5 4.16 33.73 2.22 0.05 0.74 0.89 1.07 1.1 0.95 0.49 80.6 53829.15 19186.36 2.69 5774.6 2.92 35.7 9.61 2.27 42.7
"Lithuania" 0 3 0 69.33 11735.8 4.2 33.54 2.12 0.05 0.78 1 1.04 1.16 1.02 0.69 81 54833.22 19598.4 2.33 5082.4 3.08 35.3 6.88 1.04 42.6
"Luxembourg" 18342000 3 0.04 86.58 9006.5 15.1 15.32 1.66 0 1.33 1.52 1.68 1.69 1.73 1.98 69.2 65664.47 110193.21 1.73 788.09 35.78 34.5 8.35 0.79 20.8
"Luxembourg" 186761996 2 0.01 79.12 9320.8 15.33 16.05 1.73 0 1.36 1.53 1.77 1.76 1.8 2.08 69.6 71004.75 116786.51 1.53 850.23 34.16 35.4 7.98 0.9 20.5
"Luxembourg" 0 23 0 79.12 9500.3 15.32 16.45 1.77 0 1.35 1.49 1.73 1.7 1.79 2.11 69.6 69796.09 112621.82 1.75 949.26 36.03 34.2 7.44 0.74 20.5
"Malaysia" 10560000 2 0.02 74.23 225104.1 7.04 5.22 0.2 0.04 0.12 -0.4 0.82 0.68 0.41 0.02 78.3 319428.48 9979.7 3.8 102446.2 4.3 0 11.24 1.55 40
"Malaysia" 41769865 8 0.02 59.22 241451.4 7.45 5.31 0.78 0.05 0.25 -0.11 1.1 0.58 0.55 0.33 78.8 359008.27 11073.98 0.98 101443.9 4.03 41.2 11.25 1.47 39.2
"Malaysia" 16824000 6 0.03 59.22 244882 7.46 5.59 0.69 0.03 0.14 -0.05 1.01 0.56 0.52 0.26 81.3 365115.45 11132.1 0.66 103613.4 4.14 0 11.65 1.52 39.2
"Malaysia" 0 18 0 47.9 245139.3 7.38 5.84 0.65 0.05 0.11 -0.15 1.06 0.68 0.59 0.25 81.5 337858.51 10160.83 -1.13 107636 4.2 0 11.63 1.57 38.7
"Malta" 4032589 6 0 88.48 1521.2 3.25 7.27 2.54 0 1.25 1.17 1 1.28 1.14 0.74 64.8 13489.13 28823.35 1.36 829.29 0.38 29.2 8.52 4.07 43.8
"Malta" 284789934 1 0.06 80.9 1552.5 3.2 7.56 2.48 0 1.28 1.09 0.96 1.34 1.05 0.58 65.2 15314.73 31566.36 1.16 1021.03 0.36 28.7 8.4 3.36 43.9
"Malta" 23786186 14 0.03 80.9 1658.6 3.29 7.4 2.46 0 1.02 1.08 0.85 0.95 0.95 0.24 65.5 15876.85 31506.56 1.65 910.4 0.38 31 8.89 3.21 44
"Malta" 1000000 35 0 70.7 1610.7 3.13 9.18 2.27 0 1.01 1.12 1.03 1.22 0.91 0.37 66.1 15049.47 29196.98 0.64 919.31 0.38 31.4 8.47 3.66 44
"Marshall Islands" 11900000 1 0 0 149.3 3.16 12.01 0 0 0.87 1.19 -1.69 -1.07 0.22 0.06 50.9 0 4507.62 0 0 0 0 0 0 64.8
"Marshall Islands" 1849427 8 0.01 0 151.1 3.29 12.03 0 0 0.73 0.93 -1.59 -1.22 0.02 0.02 50.9 0 4769.19 0 0 0 0 0 0 64.8
"Marshall Islands" 0 6 0 0 152.3 3.41 12.08 0 0 0.76 1.13 -1.54 -1.12 0.01 0.05 50.9 0 5188.97 0 0 0 35.5 0 0 65.7
"Marshall Islands" 0 1 0 30.8 110 2.53 11.97 0 0 0.63 1.14 -1.41 -1.11 0.09 0.08 50.9 0 5567.97 0 0 0 0 0 0 65.9
"Mauritius" 239752 7 0 70.85 4174.4 3.3 9.42 2.52 0.08 0.97 0.79 1 1.06 0.69 0.19 76.5 13675.52 10841.68 3.69 5833.8 34.57 36.8 10.08 7.03 21.8
"Mauritius" 10286451 6 0.01 56.63 4133.9 3.27 9.19 2.77 0.02 0.87 0.73 0.93 1.05 0.74 0.21 78.9 14673.35 11643.46 3.19 6249.9 34.04 0 11.48 6.52 21.9
"Mauritius" 0 1 0 56.63 4173.7 3.3 8.94 2.97 0.02 0.81 0.75 0.89 1.02 0.72 0.24 80.3 14380.8 11403.25 0.48 7317.6 35.63 0 11.27 4.94 22.1
"Mauritius" 0 1 0 45.1 3720.2 2.94 9.41 2.64 0.11 0.88 0.71 0.88 1.19 0.93 0.47 81.5 11428.26 9005.46 2.52 7232.2 39.28 0 10.81 6.21 22.2
"Mexico" 0 1 0 73.59 474498.5 3.86 9.99 1.17 0.2 -0.8 -0.08 -0.03 0.19 -0.57 -0.93 72.4 1163848.97 9434.38 6.04 172802 18.9 0 10.4 2.09 52.9
"Mexico" 50456643 72 0.01 59.69 444898.4 3.59 10.16 0.96 0.28 -0.65 -0.02 -0.26 0.1 -0.63 -0.93 72.5 1224814.32 9857.01 4.9 174793 19.22 46.7 10.7 2.05 53.4
"Mexico" 1900000 28 0 59.69 451828.8 3.61 10.27 1.37 0.18 -0.84 0.01 -0.28 0.03 -0.65 -0.9 72.3 1269981.54 10145.15 3.63 180877 19.26 0 11.01 2.09 55.7
"Mexico" 0 5 0 52.6 383131.4 3.04 12.33 1.42 0.09 -0.86 -0.03 -0.24 0 -0.65 -0.9 72.4 1097379.56 8655 3.4 195667 21.51 45.4 10.65 2.43 55.1
"Moldova" 437820 26 0 51.97 8921.6 3.35 22.04 0 0.06 -0.39 -0.1 -0.41 -0.04 -0.43 -0.62 73.1 11928.48 4404.95 4.85 3059.63 17.57 26 12.55 8.49 40.3
"Moldova" 0 10 0 44.4 8611.2 3.27 23.66 0 0.08 -0.35 -0.04 -0.51 0 -0.47 -0.55 74.4 11559.68 4376.24 3.76 3783.54 17.31 0 12.92 7.38 38.7
"Mongolia" 0 1 0 57.51 21545.7 6.81 3.26 1.82 0.01 0.83 0.24 -0.22 0.04 -0.26 -0.42 67.4 13159.23 4165.02 6.82 3549.65 2469.76 32.7 0 0 24.7
"Mongolia" 0 44 0 57.51 23146.9 7.16 3.32 1.78 0.04 0.63 0.32 -0.19 0.04 -0.24 -0.43 67.7 14201.14 4394.95 7.32 4348.59 2660.9 0 0 0 24.7
"Mongolia" 0 3 0 32.2 21184.7 6.43 3.98 1.57 0.2 0.72 0.38 -0.37 -0.06 -0.24 -0.47 67.8 13410.45 4041.17 3.72 4534.23 2807.84 0 0 0 25.7
"Montenegro" 284417 9 0 61.33 2500.3 4.02 40.6 0 0 0.04 0.05 0.12 0.4 0.02 0.01 73.8 0 8850.38 0 0 0 36.8 0 0 22.1
"Morocco" 3000000 32 0 42.3 66719.5 1.82 10.92 0.33 0.05 -0.35 -0.6 -0.09 -0.04 -0.19 -0.42 73.4 121616.67 3258.1 0.62 35756.94 9.49 0 0 0 45.8
"Netherlands" 57109940 4 0.03 82.03 155710.9 9.09 6.39 3.37 0.06 0.92 1.5 1.85 2.05 1.79 1.78 75.6 835104.94 48675.22 1.39 13899.91 1.95 28.5 6.08 2.31 40.4
"Netherlands" 78848917 8 0.09 75.46 151382.3 8.79 7.44 3.37 0.02 0.85 1.49 1.84 2.02 1.78 1.92 76.1 914675.16 53044.53 1.69 14197.16 1.87 28.1 6.16 1.96 40.7
"Netherlands" 40623484 3 0.02 75.46 145939.24 8.41 8.61 3.42 0 0.85 1.49 1.8 1.86 1.77 1.9 76.1 909784.53 52476.27 2.62 14366.09 1.97 29.2 6.21 1.86 40.8
"Netherlands" 0 8 0.01 75.3 130315.1 7.47 10.79 3.21 0.09 0.86 1.52 1.84 1.76 1.75 2.03 76.1 908883.08 52162.57 1.28 17925.54 1.93 26 5.88 1.89 41.2
"New Zealand" 0 2 0 88 32927.4 6.84 28.4 1.69 0.07 1.6 1.56 1.76 2.09 1.92 2.24 87.2 203479.79 42910.97 0 20683 1.41 0 0 0 34.3
"New Zealand" 94662600 24 0.01 75.96 32409 6.61 28.93 1.61 0.09 1.53 1.59 1.66 2.01 1.87 2.17 87 209305.4 43236.89 0 17655 1.45 0 7.3 0.5 34.5
"New Zealand" 39544262 1 0.02 75.96 34008.2 6.83 27.93 1.66 0.03 1.41 1.54 1.66 1.88 1.88 2.17 87 210641.2 42796.43 0 17820 1.52 0 7.3 0.5 34.6
"Nigeria" 19121 5 0 58.27 108481.2 0.56 82.32 0.02 0.08 -2 -0.34 -1.02 -0.9 -0.87 -1.08 48.5 344439.22 1941.88 16.5 0 334.04 0 5.68 14.81 34.9
"Nigeria" 60707883 1 0.03 54.76 113633.1 0.57 81.64 0.02 0.18 -2.1 -0.43 -1.1 -0.86 -0.9 -1.06 52 356502.1 2125.83 12.11 0 361.68 35.1 8.11 11.67 34.8
"Nigeria" 18798070 4 0.02 54.76 119544.1 0.59 80.81 0.02 0.09 -1.92 -0.43 -1.18 -0.93 -0.92 -1.08 53.4 402936.17 2334.02 11.41 0 361.11 0 7.29 6.06 34.8
"Nigeria" 0 8 0.03 31 111978.1 0.54 82.51 0.02 0.04 -1.87 -0.58 -1.12 -1.01 -0.83 -1.08 56.9 403888.81 2074.61 13.25 0 381.1 0 6.26 6.02 34.8
"Macedonia" 0 1 0 61.06 6950.6 3.35 20.87 1.95 0.05 -0.21 -0.03 0.09 0.52 -0.29 -0.37 80.3 12657.37 6108.74 1.46 53 52.14 33 10.79 5.04 13
"Macedonia" 250000 3 0 61.06 7956.1 3.83 17.05 1.95 0.05 0 -0.02 -0.1 0.45 -0.28 -0.43 80.7 12582.79 6070.39 0.76 58.94 54.98 33.5 10.96 4.62 13
"Macedonia" 0 4 0 55.4 6796.7 3.28 20.26 0 0.16 0.11 0.06 0.06 0.45 -0.08 -0.47 80.7 12390.68 5965.45 1.19 66.33 54.07 0 11.64 3.26 13
"Norway" 11015589 1 0.01 86.9 39174.9 7.42 59.52 2.25 0.11 1.17 1.69 1.98 1.81 2.01 2.23 82.4 404573.74 76131.84 1.87 65969.28 8.27 27 0 1 39.5
"Norway" 9590096 1 0.01 77.49 38571.5 7.26 59.74 2.14 0.08 1.14 1.7 1.88 1.79 1.96 2.09 82.7 441475.27 82792.84 2.77 63188.96 8.14 27.6 0 0.75 37.7
"Norway" 0 23 0 77.49 37661.6 7.04 60.6 2.05 0.12 1.17 1.66 1.85 1.8 1.98 2.07 82.9 410198.51 76430.59 2.15 66992.08 8.8 27.7 0 0.8 37
"Norway" 0 5 0 77.7 36177.4 6.73 61.29 1.98 0.09 1.25 1.72 1.93 1.7 1.97 2.1 82.6 367092.3 68340.02 1.29 75310.6 9.42 0 0 0.74 36.2
"Oman" 0 14 0 51.32 75365 16.38 0.01 0 0.01 0.65 -1.04 0.18 0.17 0.46 0.24 68.6 0 19887.57 0.88 0 0.39 0 13.36 1.8 23.9
"Oman" 0 1 0 51.32 75744.8 16.46 0.01 0 0.04 0.59 -1.15 0.25 0.29 0.55 0.45 68.8 0 19132.15 0.14 0 0.39 0 13.36 1.8 27.4
"Panama" 0 1 0 78 10136.4 2.47 23.6 0.6 0.11 0.39 0.52 0.06 0.44 0.03 -0.59 64.7 0 15185.97 0.88 2703.34 1 49.9 12.48 1.42 37.2
"Panama" 42283717 1 0.01 62.71 9918.8 2.38 24.44 0.49 0.13 0.26 0.55 0.04 0.4 -0.14 -0.59 66.5 0 16156.07 0.76 2121.3 1 49.2 12.49 1.74 37.2
"Panama" 28436800 4 0 62.71 13099.9 3.1 18.91 0.5 0.14 0.3 0.6 0.13 0.39 -0.17 -0.62 66.9 0 16472.83 -0.35 0 1 49.8 12.71 1.96 37.2
"Panama" 0 1 0 47.3 9582.7 2.23 28.43 0.37 0.05 0.24 0.58 0.2 0.33 -0.27 -0.56 66.6 0 13293.33 -1.55 0 1 0 11.8 2.01 37.2
"Paraguay" 6492010 5 0.01 53.93 8360.1 1.3 59.24 1.07 0.01 -0.08 0.02 -0.59 -0.08 -0.59 -0.85 58 40243.79 6242.96 3.96 6858.7 5732.02 46 8.42 2.51 35
"Peru" 274107 3 0 61.92 54589.9 1.7 27.89 0.45 0.17 -0.27 0.21 -0.3 0.45 -0.55 -0.58 67.8 222060.77 6912.1 1.31 60288 3.29 42.4 12.46 3.27 35.6
"Peru" 420000 3 0.01 61.92 56972.2 1.74 27.14 0.52 0.09 -0.15 0.27 -0.1 0.53 -0.5 -0.49 68.3 228067.53 6955.88 2.13 68370 3.34 41.6 12.86 3.37 36.8
"Philippines" 9000000 28 0 73.7 133456.7 1.25 27.69 0.6 0.05 -1.19 0.08 0 0.14 -0.48 -0.48 59.3 327816.44 3077.43 2.85 81569.9 50.42 0 10.02 1.58 42.9
"Philippines" 11556944 1 0.01 57.65 139119.1 1.28 27.53 0.9 0.17 -1.09 0.01 0.1 0.04 -0.55 -0.55 59.3 345874.09 3194.67 5.33 79193.37 52.7 42.3 10.67 1.67 42.9
"Philippines" 1530 1 0 57.65 145871.3 1.32 26.8 1.05 0.13 -0.92 0.01 0.09 0.11 -0.55 -0.59 60.9 376418.57 3413.85 2.38 87839.54 51.79 0 11.01 1.97 42.9
"Philippines" 0 7 0 38.4 133471.3 1.19 29.06 1.01 0.14 -0.75 -0.1 0.1 0.13 -0.63 -0.49 62.8 362076.65 3224.42 2.38 110117.43 49.6 0 11.14 3.53 43.1
"Poland" 45395765 118 0.01 81.26 312769.9 8.24 11.13 2.51 0.1 0.52 0.78 0.58 0.82 0.42 0.73 77.7 528235.01 13815.5 2.01 113278.9 3.78 29.7 10.02 3.94 40.4
"Poland" 240127437 2 0.03 64.11 311754.9 8.21 15.05 2.59 0.03 0.49 0.7 0.58 0.88 0.4 0.65 77.9 587931.5 15504.51 1.8 116964.6 3.61 30.2 9.77 3.85 40.5
"Poland" 32801500 1 0 64.11 294948.3 7.77 15.62 2.54 0.04 0.56 0.67 0.54 1.02 0.41 0.64 76.9 596048.1 15700.01 2.19 128405 3.84 28.8 9.56 3.8 40.7
"Poland" 0 12 0 60.9 279223.8 7.37 16.14 2.29 0.12 0.52 0.62 0.36 0.86 0.53 0.65 76.4 600572.42 15816.82 3.36 154246.2 3.9 0 9.4 3.7 40.8
"Portugal" 16238088 5 0.02 71.91 49461.2 4.81 27.47 2.59 0 1.13 1.17 1.21 0.88 1.14 0.84 76.5 242438.14 23562.55 1 9781.69 169.77 33.5 7.04 9.43 39.8
"Portugal" 0 2 0 71.91 44564.7 4.33 28.19 2.55 0 1.07 1.2 1.16 0.97 1.13 0.77 76.4 240036.44 23330.82 0.34 6697.35 179.06 32.8 7.66 6.18 39.8
"Portugal" 0 48 0 67 38973.5 3.78 31.21 2.38 0.05 1.02 1.26 1.02 0.83 1.18 0.75 76.5 229036.59 22242.41 -0.01 6620.45 175.92 34.7 7.47 4.86 39.8
"Romania" 0 6 0 83.24 74208.1 3.79 23.35 1.96 0.03 0.06 0.6 -0.06 0.45 0.46 -0.12 72.9 209840.65 10727.97 1.35 9504.37 4.05 36 8.89 6.41 40
"Romania" 148455164 1 0.05 64.78 75190.2 3.86 23.03 2.07 0.05 0.05 0.52 -0.15 0.42 0.39 -0.2 73 242137.37 12494.42 4.63 9005.99 3.94 35.8 9.34 4.96 40
"Romania" 1230000 3 0 64.78 73942.8 3.82 23.54 2.23 0.15 0.56 0.52 -0.19 0.46 0.44 -0.21 72.5 249837.69 12958 3.82 8715.86 4.24 34.8 10.2 4.09 40
"Romania" 8100000 1 0 64.7 68664 3.56 24.06 2.02 0.12 0.53 0.59 -0.26 0.36 0.39 -0.07 73.3 251241.55 13047.46 2.64 10619.25 4.24 34.6 10.33 3.83 20
"Russian Federation" 464253557 1 0.11 83.52 1594550.3 11.04 3.25 0 0.15 -0.64 -1.09 -0.15 -0.51 -0.83 -0.89 75.3 1573771.79 10720.33 3.68 432742.2 58.31 37.2 10.51 10 47.4
"Russian Federation" 335080683.4 11 0.17 63.79 1661000 11.5 3.18 0 0.15 -0.54 -1.07 -0.06 -0.55 -0.82 -0.85 76.5 1652987.22 11287.35 2.89 468495 62.84 37.5 9.97 10.12 47.5
"Russian Federation" 47872808 6 0.03 63.79 1703588.7 11.8 3.22 0 0.12 -0.56 -1.12 0.07 -0.46 -0.75 -0.8 77.4 1694033.62 11536.26 4.48 554359 64.71 37.7 10.38 9.29 46.3
