"Country" "Raised" "num" "ESG" "EPI" "CO2_E" "CO2_pc" "E_RNEW" "Env_Taxes_gdp" "WUI" "PolStab" "Voice_Account" "Gov_Effectiveness" "Regulatory_Quality" "Rule_Of_Law" "Control_Of_Corruption" "EODoing_business" "GDPUSD" "GDPpc" "Consumerprice" "Reservas" "Exchande_rate" "Gini_index" "Bank_capital" "non_performing_loans" "Paying_tax"
"Belgium" 6044538 6 0.02 77.38 93523.2 8.18 10.65 1.82 0 0.4 1.32 1.26 1.27 1.37 1.46 72.2 543550.31 47544.98 2.05 17872.36 34.16 27.2 7.61 2.27 57.1
"Belgium" 1000000 1 0 77.38 92989.4 8.09 10.2 1.71 0.09 0.47 1.31 1.14 1.29 1.37 1.48 74.7 535950.68 46641.71 1.43 18228.03 36.03 27.2 7.45 2.09 57.7
"Belgium" 0 1 0 73.3 85364.1 7.4 12.28 1.56 0.18 0.54 1.28 1.12 1.35 1.36 1.48 75 525286.46 45517.9 0.74 19899.06 35.39 26 7.06 2.07 55.4
"Belize" 10000000 16 0 73.55 643.1 1.72 37.24 0.12 0 0.04 0.57 -0.64 -0.54 -0.96 -0.28 55.4 0 6100.99 1.14 312.14 2 0 0 0 31.1
"Belize" 182796962 6 0.04 57.79 630 1.65 35.53 0.14 0 0 0.42 -0.6 -0.65 -0.83 -0.14 55.3 0 6059.16 0.27 294.47 2 0 0 0 31.1
"Belize" 3358228 6 0 57.79 736.2 1.89 30.43 0.12 0 0.06 0.51 -0.6 -0.55 -0.84 -0.17 55.3 0 6210.57 0.18 0 2 0 0 0 31.1
"Belize" 0 4 0 41.9 687.6 1.74 30.2 0.17 0 0.52 0.53 -0.57 -0.54 -0.8 -0.17 55.5 0 5266.88 0.12 0 2 0 0 0 31.1
"Bosnia and Herzegovina" 0 12 0 63.28 22692.7 6.6 18.49 0 0.1 -0.35 -0.21 -0.48 -0.04 -0.18 -0.53 64.8 18132.71 5327.39 0.8 6397.03 1.73 0 14.01 10.05 22.6
"Bosnia and Herzegovina" 2070410 6 0.01 41.84 22615.8 6.65 35.36 0 0.04 -0.4 -0.27 -0.64 -0.13 -0.21 -0.58 65.2 20431.59 6024.49 1.43 6736.6 1.66 0 13.19 8.77 23.7
"Bosnia and Herzegovina" 0 12 0 45.4 20946.8 6.31 37.71 0 0.07 -0.44 -0.32 -1.04 -0.17 -0.29 -0.62 65.4 20282.56 6095.1 -1.05 8602.28 1.72 0 12.52 6.12 23.7
"Botswana" 0 3 0 51.7 8061.39 3.29 25.11 0 0.05 0.97 0.45 0.28 0.63 0.41 0.75 65.7 17076.36 6947.82 3.23 6656.91 10.19 0 9.45 5.43 25.1
"Brazil" 0 1 0 78.9 455684.8 2.19 45.33 0.88 0.02 -0.47 0.45 -0.29 -0.12 -0.29 -0.54 55.2 2064147.24 9896.72 3.45 373972 3.19 53.3 10.05 3.59 65.3
"Brazil" 14871238 5 0.02 60.7 433838.8 2.06 46.95 0.86 0 -0.44 0.37 -0.5 -0.28 -0.28 -0.46 55.6 1925893.8 9121.02 3.68 374715 3.65 53.9 10.06 3.05 65.1
"Brazil" 0 6 0 60.7 434318 2.05 47.58 0.81 0.01 -0.71 0.3 -0.21 -0.11 -0.2 -0.39 58.6 1874117.02 8845.32 3.74 356884 3.94 53.5 10.21 3.11 65.1
"Brazil" 0 9 0 51.2 414138.8 1.94 50.05 0.79 0.08 -0.43 0.3 -0.44 -0.1 -0.21 -0.41 59.1 1485359.05 6923.7 3.21 355620 5.16 48.9 10.06 2.24 65.1
"British Virgin Islands" 21600000 2 0.01 0 0 0 1.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
